horse_name,program,pp,race,dt_s,dt_wp,dt_pp,dt_sp,dt_ip,dt_rp,dh_s,dh_wp,dh_pp,dh_sp,dh_ip,dh_rp,th_s,th_wp,th_pp,th_sp,th_ip,th_rp,sc_avgcr,sc_avgsr,sc_hisr,pc_sty_q1,pc_sty_q2,pc_sty_q3,pc_sty_fn,pc_sty_r,pc_fig_q1,pc_fig_q2,pc_fig_q3,pc_fig_q4,pc_fig_cp,pc_fig_r,tr_hs_brk,tr_hs_pkal,tr_hs_pkq1,tr_hs_pkq2,tr_hs_pkq3,cpr_speed,cpr_class,cpr_pace,cpr_eps,cpr_prepow,cpr_drvhrs,cpr_winst,cpr_off,cpr_fitnes,cpr_drv_wp,cpr_pp_rp,cpr_drv_rp,cpr_drp_rp,cpr_break,cpr_pace_l,cpr_trn_wp,cpr_trn_rp,rca91_al_s,rca91_al_1,rca91_al_2,rca91_al_3,rca91_of_s,rca91_of_1,rca91_of_2,rca91_of_3,rcaty_s,rcaty_1,rcaty_2,rcaty_3,rcaly_s,rcaly_1,rcaly_2,rcaly_3,rct91_al_s,rct91_al_1,rct91_al_2,rct91_al_3,rct91_of_s,rct91_of_1,rct91_of_2,rct91_of_3,rctty_s,rctty_1,rctty_2,rctty_3,rctly_s,rctly_1,rctly_2,rctly_3,era91al_s,era91al_wp,era91al_pp,era91al_sp,era91al_ip,era91al_rp,era91al_pd,era91al_sd,era91of_s,era91of_wp,era91of_pp,era91of_sp,era91of_ip,era91of_rp,era91of_pd,era91of_sd,eratyal_s,eratyal_wp,eratyal_pp,eratyal_sp,eratyal_ip,eratyal_rp,eratyal_pd,eratyal_sd,eralyal_s,eralyal_wp,eralyal_pp,eralyal_sp,eralyal_ip,eralyal_rp,eralyal_pd,eralyal_sd,era06al_s,era06al_wp,era06al_pp,era06al_sp,era06al_ip,era06al_rp,era06al_pd,era_apv,ert91al_s,ert91al_wp,ert91al_pp,ert91al_sp,ert91al_ip,ert91al_rp,ert91al_pd,ert91al_sd,ert91of_s,ert91of_wp,ert91of_pp,ert91of_sp,ert91of_ip,ert91of_rp,ert91of_pd,ert91of_sd,erttyal_s,erttyal_wp,erttyal_pp,erttyal_sp,erttyal_ip,erttyal_rp,erttyal_pd,erttyal_sd,ertlyal_s,ertlyal_wp,ertlyal_pp,ertlyal_sp,ertlyal_ip,ertlyal_rp,ertlyal_pd,ertlyal_sd,ert06al_s,ert06al_wp,ert06al_pp,ert06al_sp,ert06al_ip,ert06al_rp,ert06al_pd,btty_time,btty_trk,btty_size,btty_age,btty_race,btly_time,btly_trk,btly_size,btly_age,btly_race,bt91_time,bt91_trk,bt91_size,bt91_age,bt91_race,bttt_time,bttt_trk,bttt_size,bttt_age,bttt_race,cl_date,cl_recent,cl_clmpric,cl_clmfrom,cl_1offclw,cl_1offcls,cl_2offclw,cl_2offcls,cl_14_lo_w,cl_14_lo_s,cl_31_lo_w,cl_31_lo_s,me_lasixto,me_buteto,me_hopfree,morn_odds,power_symb,saddleclth,age,sex,color,power,breed_name,breed_locn,owner_name,owner_locn,claimprice,rank_power,rank_speed,rank_class,rank_pace,mudmark,daysago,era91na_pd,lastxraces,eralxal_pd,regno,btty_tmc,btly_tmc,bt91_tmc,bttt_tmc,horseratin,trainer,driver,sire,dam,ppdata,CPR_Composite,CPR_Color,CPR_Rank,CPR_Prob,Fair_Prob,Fair_Odds_Dec,Fair_Odds_Frac,ML_Prob,Overlay_Diff,Value_Flag,CPR_Delta,Tier,Chaos_Index,Chaos_Label
GOOGOO EYES,1,1,1,44,11,23,9,43,55,5,20,20,0,40,-47,26,12,15,0,27,-60,76,72,73,3.8,3.6,4.0,4.2,10,72,76,73,69,72,5,6,8,5,5,16,72.0,76.0,69.3,83.0,80.0,83.4,65.4,72.1,69.4,68.7,81.2,76.7,80.4,75.9,69.0,55.0,46.9,102,10,15,19,8,0,2,3,26,3,4,0,40,4,5,8,23,3,4,0,2,0,0,0,23,3,4,0,0,0,0,0,102,10,15,19,43,-61,152781,1498,8,0,25,38,63,-100,7234,904,26,12,15,0,27,-60,26427,1016,40,10,13,20,43,-67,42091,1052,6,17,17,0,34,-56,7115,1.0,23,13,17,0,30,-55,24990,1087,2,0,0,0,0,-100,540,270,23,13,17,0,30,-55,24990,1087,0,0,0,0,0,-999,0,0,6,17,17,0,34,-56,7115,1:55.0,M,1,5,,1:55.2,RCR,5/8,4,,1:55.0,M,1,5,,1:55.0,M,1.0,5,,0,,0.0,,0,0,0,0,0,2,0,3,L,,,4/1,,Red,5,g,br,74.3,"Glenn C Dyke,DE",MD,"Jennifer F Oglesby,Warren,OH",,0,2,1,3,2,,7,152781,5,6520,6V6496,115.0,115.2,115.0,115.0,73.12,,,,,,63.1,🔴,3,0.1019,0.1019,9.81,8.81/1,0.2,-0.098,,3.2,B,2.06,Low
KAMERAN HANOVER,2,2,1,0,0,0,0,0,-999,0,0,0,0,0,-999,10,10,20,50,80,-44,75,72,76,2.0,2.2,2.8,2.9,10,82,71,69,67,72,5,0,2,2,2,2,72.0,75.0,70.7,85.9,80.0,40.2,68.7,82.2,63.3,63.5,88.9,75.7,6.6,80.0,67.0,63.5,23.4,229,27,51,39,24,4,5,3,20,1,5,8,28,2,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,12,22,17,51,-43,423797,1851,24,17,21,13,51,-11,44921,1872,20,5,25,40,70,-72,22414,1121,28,7,21,25,54,-63,35626,1272,6,17,17,50,84,-8,10784,1.0,0,0,0,0,0,-999,0,0,0,0,0,0,0,-999,0,0,0,0,0,0,0,-999,0,0,0,0,0,0,0,-999,0,0,0,0,0,0,0,-999,0,2:00.4,YR,1/2,11,,1:59.2,FLMD,1/2,10,,1:53.4,WBSB,7/8,4,,,,,0,,0,,0.0,,0,0,0,0,0,0,0,2,L,,H,8/1,,Blue,11,h,b,74.7,"Hanover Shoe Farms Inc,PA",PA,"Jody L Riedel,Port Jervis,NY;Joseph D Lee,Mahopac,NY",,0,1,1,6,2,,10,423793,5,9860,1M3396,120.4,119.2,113.4,999.0,73.05,,,,,,61.1,🔴,6,0.0986,0.0986,10.14,9.14/1,0.1111111111111111,-0.013,,5.2,B,2.06,Low
SUPREME ROCKETTE,3,3,1,0,0,0,0,0,-999,0,0,0,0,0,-999,1,0,0,0,0,-100,68,68,71,1.9,2.1,2.2,2.8,10,69,66,65,74,68,5,0,2,6,0,0,68.0,68.0,71.0,90.1,80.0,40.2,82.6,88.6,49.1,61.6,60.4,37.7,120.0,80.0,74.0,76.4,110.4,27,7,10,5,2,0,1,1,16,3,7,2,11,4,3,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,27,26,37,19,81,-45,67251,2491,2,0,50,50,100,-100,2315,1157,16,19,44,13,75,-47,36571,2286,11,36,27,27,91,-43,30680,2789,6,17,50,0,67,-45,17337,1.3,1,0,0,0,0,-100,510,510,0,0,0,0,0,-999,0,0,1,0,0,0,0,-100,510,510,0,0,0,0,0,-999,0,0,1,0,0,0,0,-100,510,1:58.4,CHRTN,1/2,3,,2:01.6,SUMM,1/2,2,,1:58.4,CHRTN,1/2,3,,,,,0,,0,,0.0,,0,0,0,0,0,3,0,0,,,,8/1,,White,3,f,b,70.3,"James Whalen Jr,PE, CA",PE,"Rotiboy4Eva Racing Stable,Wind Gap,PA",,0,7,8,10,7,,7,67248,5,13899,7XP292,118.4,121.6,118.4,999.0,67.45,,,,,,64.4,🔴,2,0.104,0.104,9.62,8.62/1,0.1111111111111111,-0.007,,1.9,A,2.06,Low
CHAMPA BAY HALL,4,4,1,12,8,8,8,24,-43,2,50,50,0,100,235,8,13,13,25,51,-15,78,72,76,5.1,5.4,5.2,4.4,10,64,74,80,78,73,5,6,6,3,6,11,72.0,78.0,67.8,85.2,80.0,99.8,70.2,59.1,76.5,59.5,48.1,87.3,79.4,75.9,78.0,67.1,65.7,62,8,8,9,8,0,1,0,27,2,3,4,30,6,5,3,3,1,1,0,0,0,0,0,3,1,1,0,0,0,0,0,62,13,13,15,40,-49,109109,1760,8,0,13,0,13,-100,6176,772,27,7,11,15,33,-63,28925,1071,30,20,17,10,47,-28,78709,2624,6,17,17,33,67,12,10290,1.4,3,33,33,0,66,123,7390,2463,0,0,0,0,0,-999,0,0,3,33,33,0,66,123,7390,2463,0,0,0,0,0,-999,0,0,3,33,33,0,66,123,7390,1:55.6,MVR,5/8,4,,1:56.4,SCD,5/8,3,,1:55.6,MVR,5/8,4,,1:56.6,M,1.0,4,,0,,0.0,,0,0,0,0,2,10,0,2,L,,,5/2,,Green,4,m,br,72.6,"Atlantic Trot Inc,FL;Steve H Stewart,KY",IL,"Dante J & Evgeniya Scattolini,Cape May Court House,NJ",,0,3,1,1,1,,6,109109,5,9090,2W4242,115.6,116.4,115.6,116.6,71.44,,,,,,66.3,🔴,1,0.107,0.107,9.35,8.35/1,0.2857142857142857,-0.179,,0.0,A,2.06,Low
CHOCO'S CHOICE,5,5,1,1,0,0,0,0,-100,0,0,0,0,0,-999,6,0,17,0,17,-100,77,68,71,4.2,4.1,4.5,4.7,5,83,59,74,58,68,2,6,0,0,0,0,68.0,77.0,68.8,80.6,80.0,40.2,74.2,85.2,49.1,67.1,58.2,74.8,0.0,75.9,58.0,73.0,66.8,77,12,10,5,7,3,0,0,6,0,1,0,15,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,16,13,6,35,-24,96928,1259,7,43,0,0,43,54,17300,2471,6,0,17,0,17,-100,3785,631,15,7,13,0,20,-71,8730,582,6,0,17,0,17,-100,3785,1.1,0,0,0,0,0,-999,0,0,0,0,0,0,0,-999,0,0,0,0,0,0,0,-999,0,0,0,0,0,0,0,-999,0,0,0,0,0,0,0,-999,0,1:59.0,PHL,5/8,8,Q,1:58.4,PHL,5/8,7,,1:55.4,PHL,5/8,5,,,,,0,,0,,0.0,,0,0,0,0,0,0,0,0,,,,15/1,,Black,8,g,br,69.0,"Anthony J Risi,PA;Bernard M O'Brien,FL",PA,"Bernard M O'Brien,Lecanto,FL",,0,8,8,2,7,,10,96928,5,3785,4R6968,119.0,118.4,115.4,999.0,67.9,,,,,,61.7,🔴,5,0.0996,0.0996,10.04,9/1,0.0625,0.037,VALUE,4.6,B,2.06,Low
YOUMEANDWHISKEY,6,6,1,229,14,18,15,47,-46,15,0,27,20,47,-100,23,0,22,13,35,-100,76,71,75,1.5,2.2,2.7,3.5,10,95,71,65,55,71,5,6,3,1,3,5,71.0,76.0,70.9,77.4,80.0,73.9,57.3,60.3,70.9,70.2,75.7,42.3,54.9,75.9,55.0,70.2,60.4,78,5,18,15,7,1,0,2,35,1,6,4,33,3,10,8,8,0,2,1,0,0,0,0,8,0,2,1,0,0,0,0,78,6,23,19,49,-63,77059,988,7,14,0,29,43,-18,7200,1029,35,3,17,11,31,-85,33245,950,33,9,30,24,64,-18,35058,1062,6,0,17,17,34,-100,5010,1.1,8,0,25,13,38,-100,5710,714,0,0,0,0,0,-999,0,0,8,0,25,13,38,-100,5710,714,0,0,0,0,0,-999,0,0,6,0,33,17,50,-100,5185,2:01.4,STGA,1/2,4,,1:57.8,STGA,1/2,3,,1:57.8,STGA,1/2,3,,,,,0,,0,,0.0,,0,0,0,0,0,4,0,2,L,,,10/1,,Yellow,4,m,b,71.1,"Bob E Wientjes,KY;Walter E Haynes Jr,IN",IN,"Geovany Hernandez,Wrightstown,NJ",,0,5,4,3,4,,5,77059,5,5010,6WD342,121.4,117.8,117.8,999.0,71.52,,,,,,60.9,🔴,8,0.0983,0.0983,10.17,9.17/1,0.09090909090909091,0.007,,5.4,B,2.06,Low
MONI MULTIPLIER,7,7,1,5,20,0,20,40,190,2,0,0,50,50,-100,10,0,0,10,10,-100,73,70,73,7.9,7.2,6.7,5.8,10,51,78,80,69,68,5,0,7,3,6,13,70.0,73.0,65.8,83.2,80.0,40.2,63.5,40.2,59.4,68.7,51.5,65.7,36.6,80.0,69.0,57.3,45.8,22,2,1,2,2,0,0,0,16,1,1,2,6,1,0,0,2,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,22,9,5,9,23,-59,33432,1520,2,0,0,0,0,-100,2400,1200,16,6,6,13,25,-85,16032,1002,6,17,0,0,17,9,17400,2900,6,0,0,17,17,-100,2760,1.5,2,0,0,50,50,-100,1200,600,0,0,0,0,0,-999,0,0,2,0,0,50,50,-100,1200,600,0,0,0,0,0,-999,0,0,2,0,0,50,50,-100,1200,1:57.4,PRC,5/8,3,,1:55.8,LEX,1,2,,1:55.8,LEX,1,2,,1:59.4,M,1.0,2,Q,0,,0.0,,0,0,0,0,0,3,0,0,L,,H,10/1,,Pink,3,f,b,68.1,"Lindy Farms Of Conn,CT",OH,"Christopher A Lakata,Jobstown,NJ;Bernard Leifer,Piermont,NY;Paul W Kingslow,Oradell,NJ",,0,10,6,7,7,S,7,33432,5,2160,8XK549,117.4,115.8,115.8,119.4,73.18,,,,,,59.0,⚫,10,0.0952,0.0952,10.5,9.5/1,0.09090909090909091,0.004,,7.3,B,2.06,Low
RESOLVED,8,8,1,0,0,0,0,0,-999,0,0,0,0,0,-999,0,0,0,0,0,-999,71,71,73,6.4,6.2,6.2,3.9,10,80,77,69,56,70,5,6,8,2,10,14,71.0,71.0,66.8,86.5,80.0,40.2,61.6,88.6,61.8,67.1,70.8,90.6,0.0,75.9,56.0,70.2,52.6,25,2,6,5,2,1,0,0,21,2,6,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,8,24,20,52,-18,48314,1933,2,50,0,0,50,40,6745,3373,21,10,29,19,57,-2,45354,2160,4,0,0,25,25,-100,2960,740,6,33,17,0,50,238,19243,1.8,0,0,0,0,0,-999,0,0,0,0,0,0,0,-999,0,0,0,0,0,0,0,-999,0,0,0,0,0,0,0,-999,0,0,0,0,0,0,0,-999,0,1:56.2,WBSB,7/8,3,,,,,0,,1:56.2,WBSB,7/8,3,,,,,0,,0,,0.0,,0,0,0,0,0,1,0,0,L,,,9/2,,Gray,3,f,b,70.8,"Thomas A Rankin & Elizabeth C Rankin,ON, CA",ON,"Thomas A Rankin,St Catharines,ON, CA;Elizabeth C Rankin,St. Catherine,ON, CA",,0,6,4,9,5,S,17,48311,5,19243,1XP303,116.2,999.0,116.2,999.0,71.13,,,,,,61.0,🔴,7,0.0985,0.0985,10.15,9.15/1,0.18181818181818182,-0.083,,5.3,B,2.06,Low
TAKEMETOCHURCH DEO,9,9,1,158,18,14,13,45,-33,0,0,0,0,0,-999,1,0,0,0,0,-100,76,68,70,4.7,4.8,5.4,5.4,10,65,64,72,73,68,5,6,2,2,4,2,68.0,76.0,68.1,79.1,80.0,40.2,67.1,73.9,49.1,71.6,82.1,45.8,120.0,75.9,73.0,78.4,73.8,53,6,6,5,15,3,1,1,27,3,3,2,22,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,53,11,11,9,32,-58,59551,1124,15,20,7,7,34,-37,16970,1131,27,11,11,7,30,-59,21101,782,22,14,14,14,41,-49,37865,1721,6,0,0,0,0,-100,900,0.9,1,0,0,0,0,-100,0,0,0,0,0,0,0,-999,0,0,0,0,0,0,0,-999,0,0,1,0,0,0,0,-100,0,0,1,0,0,0,0,-100,0,2:00.0,BTVA,1/2,4,,1:53.8,PHL,5/8,3,,1:53.8,PHL,5/8,3,,,,,0,,0,,0.0,,0,0,0,0,0,8,2,3,L,,H,15/1,,Purple,4,g,b,71.7,"Deo Volente Farms LLC,NJ",NJ,"Morrison Racing Stables,Indiana,PA",,0,4,8,3,7,,7,59551,5,900,6W2353,120.0,113.8,113.8,999.0,68.71,,,,,,62.2,🔴,4,0.1004,0.1004,9.96,9/1,0.0625,0.038,VALUE,4.1,B,2.06,Low
MASSTER BLUE,10,10,1,0,0,0,0,0,-999,0,0,0,0,0,-999,36,8,14,8,30,-40,73,70,74,5.8,6.1,6.1,4.4,10,77,75,66,61,69,5,0,3,3,3,3,70.0,73.0,67.1,75.8,80.0,40.2,68.7,76.4,75.8,61.6,59.3,58.2,4.7,80.0,61.0,61.6,41.2,324,38,51,51,63,10,9,8,31,2,5,2,46,1,6,8,57,2,7,6,6,0,0,0,31,2,5,2,6,0,0,1,324,12,16,16,43,-43,284844,879,63,16,14,13,43,-23,55590,882,31,6,16,6,29,-63,24860,802,46,2,13,17,33,-77,25826,561,6,0,50,33,83,-100,7565,1.0,57,4,12,11,27,-80,40441,709,6,0,0,0,0,-100,2292,382,31,6,16,6,28,-63,24860,802,6,0,0,17,17,-100,3612,602,6,0,50,33,83,-100,7565,1:56.0,M,1,11,,2:00.2,FHLD,1/2,10,,1:56.0,M,1,11,,1:56.0,M,1.0,11,,20190125,,7.5,"Marshall,Donna",0,1,0,1,0,1,1,4,L,,H,10/1,,Blue-Red,11,g,b,68.4,"Little E LLC,NY",NY,"John M Novello,Linden,NJ",,0,9,6,7,6,,6,284844,5,7310,0MN906,116.0,120.2,116.0,116.0,70.51,,,,,,59.8,⚫,9,0.0965,0.0965,10.36,9.36/1,0.09090909090909091,0.006,,6.5,B,2.06,Low
