race,type,ticket,cost
1,TRIFECTA,4/3/1,2.0
1,TRIFECTA,4/3/9,2.0
1,TRIFECTA,4/3/5,2.0
1,TRIFECTA,4/3/2,2.0
1,TRIFECTA,4/1/3,2.0
1,TRIFECTA,4/1/9,2.0
1,TRIFECTA,4/1/5,2.0
1,TRIFECTA,4/1/2,2.0
1,TRIFECTA,4/9/3,2.0
1,TRIFECTA,4/9/1,2.0
1,TRIFECTA,4/9/5,2.0
1,TRIFECTA,4/9/2,2.0
1,TRIFECTA,4/5/3,2.0
1,TRIFECTA,4/5/1,2.0
1,TRIFECTA,4/5/9,2.0
1,TRIFECTA,4/5/2,2.0
1,TRIFECTA,4/2/3,2.0
1,TRIFECTA,4/2/1,2.0
1,TRIFECTA,4/2/9,2.0
1,TRIFECTA,4/2/5,2.0
1,TRIFECTA,3/4/1,2.0
1,TRIFECTA,3/4/9,2.0
1,TRIFECTA,3/4/5,2.0
1,TRIFECTA,3/4/2,2.0
2,TRIFECTA,2/3/6,2.0
2,TRIFECTA,2/3/9,2.0
2,TRIFECTA,2/3/7,2.0
2,TRIFECTA,2/3/4,2.0
2,TRIFECTA,2/6/3,2.0
2,TRIFECTA,2/6/9,2.0
2,TRIFECTA,2/6/7,2.0
2,TRIFECTA,2/6/4,2.0
2,TRIFECTA,2/9/3,2.0
2,TRIFECTA,2/9/6,2.0
2,TRIFECTA,2/9/7,2.0
2,TRIFECTA,2/9/4,2.0
2,TRIFECTA,2/7/3,2.0
2,TRIFECTA,2/7/6,2.0
2,TRIFECTA,2/7/9,2.0
2,TRIFECTA,2/7/4,2.0
2,TRIFECTA,2/4/3,2.0
2,TRIFECTA,2/4/6,2.0
2,TRIFECTA,2/4/9,2.0
2,TRIFECTA,2/4/7,2.0
2,TRIFECTA,3/2/6,2.0
2,TRIFECTA,3/2/9,2.0
2,TRIFECTA,3/2/7,2.0
2,TRIFECTA,3/2/4,2.0
3,TRIFECTA,5/1/6,2.0
3,TRIFECTA,5/1/9,2.0
3,TRIFECTA,5/1/4,2.0
3,TRIFECTA,5/1/7,2.0
3,TRIFECTA,5/6/1,2.0
3,TRIFECTA,5/6/9,2.0
3,TRIFECTA,5/6/4,2.0
3,TRIFECTA,5/6/7,2.0
3,TRIFECTA,5/9/1,2.0
3,TRIFECTA,5/9/6,2.0
3,TRIFECTA,5/9/4,2.0
3,TRIFECTA,5/9/7,2.0
3,TRIFECTA,5/4/1,2.0
3,TRIFECTA,5/4/6,2.0
3,TRIFECTA,5/4/9,2.0
3,TRIFECTA,5/4/7,2.0
3,TRIFECTA,5/7/1,2.0
